Site,Bulk Sample,Rhizosphere sample,,,
HAYS,NA,RS-22-2-BS,,,
HAYS,NA,RS-22-2-BC,,,
HAYS,NA,RS-23-1-BS,,,
HAYS,NA,RS-23-1-BC,,,
HAYS,NA,RS-23-2-BS,,,
HAYS,NA,RS-23-2-BC,,,
HAYS,NA,RS-24-1-BS,,,
HAYS,NA,RS-24-1-BC,,,
HAYS,NA,RS-24-2-BS,,,
HAYS,NA,RS-24-2-BC,,,
HAYS,NA,RS-25-1-BS,,,
HAYS,NA,RS-25-1-BC,,,
HAYS,NA,RS-25-2-BS,,,
HAYS,NA,RS-25-2-BC,,,
HAYS,NA,RS-26-1-BS,,,
HAYS,NA,RS-26-1-BC,,,
HAYS,NA,RS-26-2-BS,,,
HAYS,NA,RS-26-2-BC,,,
HAYS,NA,RS-27-1-BS,,,
HAYS,NA,RS-27-1-BC,,,
HAYS,NA,RS-27-2-BS,,,
HAYS,NA,RS-27-2-BC,,,
HAYS,NA,RS-28-1-BS,,,
HAYS,NA,RS-28-1-BC,,,
HAYS,NA,RS-28-2-BS,,,
HAYS,NA,RS-28-2-BC,,,
HAYS,NA,RS-29-1-BS,,,
HAYS,NA,RS-29-1-BC,,,
HAYS,NA,RS-29-2-BS,,,
HAYS,NA,RS-29-2-BC,,,
HAYS,NA,RS-20-1-BS,,,
HAYS,NA,RS-30-1-BC,,,
HAYS,NA,RS-30-2-BS,,,
HAYS,NA,RS-30-2-BC,,,
KNZ,BS-E1,RS-E1-A,,,
KNZ,BS-E2,RS-E1-S,,,
KNZ,BS-E3,RS-E2-A,,,
KNZ,BS-1,RS-E2-S,,,
KNZ,BS-2,RS-1-1-A,,,
KNZ,BS-3,RS-1-1-S,,,
KNZ,BS-7,RS-1-2-A,,,
KNZ,BS-8,RS-1-2-S,,,
KNZ,BS-9,RS-2-1-A,,,
KNZ,BS-10,RS-2-1-S,,,
KNZ,BS-11,RS-2-2-A,,,
KNZ,BS-12,RS-2-2-S,,,
KNZ,BS-13,RS-3-1-A,,,
KNZ,BS-14,RS-3-1-S,,,
KNZ,BS-15,RS-3-2-A,,,
KNZ,BS-19,RS-3-2-S,,,
KNZ,BS-20,RS-7-1-A,,,
KNZ,BS-21,RS-7-1-S,,,
KNZ,BS-28,RS-7-2-A,,,
KNZ,BS-29,RS-7-2-S,,,
KNZ,BS-30,RS-8-1-A,,,
KNZ,NA,RS-8-1-S,,,
KNZ,NA,RS-8-2-A,,,
KNZ,NA,RS-8-2-S,,,
KNZ,NA,RS-9-1-A,,,
KNZ,NA,RS-9-1-S,,,
KNZ,NA,RS-9-2-A,,,
KNZ,NA,RS-9-2-S,,,
KNZ,NA,RS-10-1-A,,,
KNZ,NA,RS-10-1-S,,,
KNZ,NA,RS-10-2-A,,,
KNZ,NA,RS-10-2-S,,,
KNZ,NA,RS-11-1-A,,,
KNZ,NA,RS-11-1-S,,,
KNZ,NA,RS-11-2-A,,,
KNZ,NA,RS-11-2-S,,,
KNZ,NA,RS-12-1-A,,,
KNZ,NA,RS-12-1-S,,,
KNZ,NA,RS-12-2-A,,,
KNZ,NA,RS-12-2-S,,,
KNZ,NA,RS-13-1-A,,,
KNZ,NA,RS-13-1-S,,,
KNZ,NA,RS-13-2-A,,,
KNZ,NA,RS-13-2-S,,,
KNZ,NA,RS-14-1-A,,,
KNZ,NA,RS-14-1-S,,,
KNZ,NA,RS-14-2-A,,,
KNZ,NA,RS-14-2-S,,,
KNZ,NA,RS-15-1-A,,,
KNZ,NA,RS-15-1-S,,,
KNZ,NA,RS-15-2-A,,,
KNZ,NA,RS-15-2-S,,,
KNZ,NA,RS-19-1-A,,,
KNZ,NA,RS-19-1-S,,,
KNZ,NA,RS-19-2-A,,,
KNZ,NA,RS-19-2-S,,,
KNZ,NA,RS-20-1-A,,,
KNZ,NA,RS-20-1-S,,,
KNZ,NA,RS-20-2-A,,,
KNZ,NA,RS-20-2-S,,,
KNZ,NA,RS-21-1-A,,,
KNZ,NA,RS-21-1-S,,,
KNZ,NA,RS-21-2-A,,,
KNZ,NA,RS-21-2-S,,,
KNZ,NA,RS-28-1-A,,,
KNZ,NA,RS-28-1-S,,,
KNZ,NA,RS-28-2-A,,,
KNZ,NA,RS-28-2-S,,,
KNZ,NA,RS-29-1-A,,,
KNZ,NA,RS-29-1-S,,,
KNZ,NA,RS-29-2-A,,,
KNZ,NA,RS-29-2-S,,,
KNZ,NA,RS-30-1-A,,,
KNZ,NA,RS-30-1-S,,,
KNZ,NA,RS-30-2-A,,,
KNZ,NA,RS-30-2-S,,,
